Gazette Number,Date,Description,Link
2485/51,2026-04-22,"Land Title Settlement Dept - T.R. Rawathawatta, Moratuwa D/S/D, Colombo District ( 25/0516)",https://documents.gov.lk/view/egz/2026/4/2485-51_E.pdf
2485/53,2026-04-22,Department of Census and Statistics - National Consumer Price Index - March 2026,https://documents.gov.lk/view/egz/2026/4/2485-53_E.pdf
2485/13,2026-04-21,Presidential Secretariat - The Public Security Ordinance (Chapter 40),https://documents.gov.lk/view/egz/2026/4/2485-13_E.pdf
2485/14,2026-04-21,"Ministry of Administration - Order under Section 10 (1) (b) of the Holiday Act, No. 29 of 1971",https://documents.gov.lk/view/egz/2026/4/2485-14_E.pdf
2485/15,2026-04-21,"Presidential Secretariat - 01) Hon. Punya Sri Kumara, Ministry of Energy has Resigned Office of the Ministry With effect from April 17, 2026 02) Appointed Hon. Anura Karunathilaka Member of Parliament as the Ministry of Energy from April 20, 2026",https://documents.gov.lk/view/egz/2026/4/2485-15_E.pdf
2485/16,2026-04-21,"Land Title settlement Dept - Waligalla, Udunuwara D/S/D, Kandy District ( 25/0553)",https://documents.gov.lk/view/egz/2026/4/2485-16_E.pdf
2485/26,2026-04-21,Land Title Settlement Dept,https://documents.gov.lk/view/egz/2026/4/2485-26_E.pdf
2485/29,2026-04-21,"Land Title Settlement Dept - T.R. Katiyawa Yaya 06, Thalawa D/S/D, Anuradhapura District ( 25/0501)",https://documents.gov.lk/view/egz/2026/4/2485-29_E.pdf
2485/01,2026-04-20,Sri Lanka Customs - Rates of Exchange with effect from 20.04.2026 to 26.04.2026,https://documents.gov.lk/view/egz/2026/4/2485-01_E.pdf
2485/03,2026-04-20,"Land Title Settlement Dept - Pallebokalawala, Harispattuwa D/S/D, Kandy District ( 26/1200057)",https://documents.gov.lk/view/egz/2026/4/2485-03_E.pdf
2485/11,2026-04-20,2485/11,https://documents.gov.lk/view/egz/2026/4/2485-11_E.pdf
2484/30,2026-04-18,"Land Title Settlement Dept- Mirihanegama, Wariyapola D/S/D, Kurunegala District ( 24/14-204-00039)",https://documents.gov.lk/view/egz/2026/4/2484-30_E.pdf
2484/31,2026-04-18,"Land Title Settlement Dept- Ichchankulam, Nuwaragampalatha East D/S/D, Anuradhapura District ( 24/14-4-0062)",https://documents.gov.lk/view/egz/2026/4/2484-31_E.pdf
2484/32,2026-04-18,"Land Title Settlement Dept - Lelwala, Neluwa D/S/D, Galle District ( 24/14-4-0008)",https://documents.gov.lk/view/egz/2026/4/2484-32_E.pdf
2484/33,2026-04-18,"Land Title Settlement Dept - Lelwala, Neluwa D/S/D, Galle District ( 24/14-4-00019)",https://documents.gov.lk/view/egz/2026/4/2484-33_E.pdf
2484/35,2026-04-18,"Land Title Settlement Dept- Weerapedesa, Thamankaduwa D/S/D, Polonnaruwa District ( 26/1200049)",https://documents.gov.lk/view/egz/2026/4/2484-35_E.pdf
2484/36,2026-04-18,"Land Title Settlement dept- Pelwehera, Dambulla D/S/D, Matale District ( 24/14-4-00052)",https://documents.gov.lk/view/egz/2026/4/2484-36_E.pdf
2484/41,2026-04-18,"Office of the Governor, Uva Province - Appointments Made by the Governor of Uva Province",https://documents.gov.lk/view/egz/2026/4/2484-41_E.pdf
2484/48,2026-04-18,"Land Title Settlement Dept - Thembiliyana, Kuruvita D/S/D, Rathnapura District ( 24/14-4-0005)",https://documents.gov.lk/view/egz/2026/4/2484-48_E.pdf
2484/49,2026-04-18,"Land Title Settlement Dept - Kahengama West, Kurunegala D/S/D, Rathnapura District ( 7934)",https://documents.gov.lk/view/egz/2026/4/2484-49_E.pdf
2482/17,2026-04-17,"Land Title Settlement Dept - Baduragoda, Meerigama D/S/D, Gampaha District ( 26/5514017)",https://documents.gov.lk/view/egz/2026/4/2482-17_E.pdf
2484/08,2026-04-17,Presidential Secretariat - Establishment of a Special Presidential Inquiry Commission,https://documents.gov.lk/view/egz/2026/4/2484-08_E.pdf
2484/09,2026-04-17,"Land Title Settlement Dept - Pahala Miliathe, Dompe D/S/D, Gampaha District ( 2",https://documents.gov.lk/view/egz/2026/4/2484-09_E.pdf
2484/11,2026-04-17,"Land Title Settlement Dept - Pitipana South, Homagama D/S/D, Colombo District ( 26/5514012)",https://documents.gov.lk/view/egz/2026/4/2484-11_E.pdf
2484/15,2026-04-17,"Land Title Settlement Dept - Katukurunduwatta, Rathmalana D/S/D, Colombo District (26/5514023)",https://documents.gov.lk/view/egz/2026/4/2484-15_E.pdf
2484/17,2026-04-17,"Land Title Settlement Dept - Ganegoda, Rideegama D/S/D, Kurunegala District",https://documents.gov.lk/view/egz/2026/4/2484-17_E.pdf
2484/20,2026-04-17,"Land Title Settlement Dept - Sooriyapaluwa, Mahara D/S/D, Gampaha District ( 25/5514282)",https://documents.gov.lk/view/egz/2026/4/2484-20_E.pdf
2484/22,2026-04-17,"Land Title Settlement Dept - Muththettuwegama, Imbulpe D/S/D, Rathnapura District ( 7948)",https://documents.gov.lk/view/egz/2026/4/2484-22_E.pdf
2484/23,2026-04-17,"Land Title Settlement Dept - Thudella, Ja -ela D/S/D, Gampaha District ( 26/14-3-00126)",https://documents.gov.lk/view/egz/2026/4/2484-23_E.pdf
2484/25,2026-04-17,"Land Title Settlement Dept- Rankeliya, Tissamaharamaya D/S/D, Hambantota District (26/5514037)",https://documents.gov.lk/view/egz/2026/4/2484-25_E.pdf
2484/28,2026-04-17,"Land Title Settlement Dept - Horagolla,Gampaha D/S/D, Gamapaha District ( 25/14-204-00285)",https://documents.gov.lk/view/egz/2026/4/2484-28_E.pdf
2484/29,2026-04-17,Department of Co-operative Development  - Cancellation of Liquidatory of Co-operative Societies,https://documents.gov.lk/view/egz/2026/4/2484-29_E.pdf
,2026-04-17,Ordinary Gazette,https://documents.gov.lk/view/gz/2026-04-17.html
2484/03,2026-04-16,"Ministry of Trade , Commerce Food Security and Co-operative Development  - The Societies Ordinance",https://documents.gov.lk/view/egz/2026/4/2484-03_E.pdf
2484/04,2026-04-16,Department of Labour - Special Allowance Payable to Workers,https://documents.gov.lk/view/egz/2026/4/2484-04_E.pdf
2484/05,2026-04-16,Chief Secretaries Office - North Western Province - Delegation of Power,https://documents.gov.lk/view/egz/2026/4/2484-05_E.pdf
2484/06,2026-04-16,"Land Acquision -  Egodauyana North, Kiriwaththuduwa D/S/D, Colombo District",https://documents.gov.lk/view/egz/2026/4/2484-06_E.pdf
2484/07,2026-04-16,"Land Title Settlement Dept - Pothana, Dambulla D/S/D, Matale District ( 25/14-204-00324)",https://documents.gov.lk/view/egz/2026/4/2484-07_E.pdf
2484/02,2026-04-15,Department of Labour - Wages Boards Ordinance wages Board for the Coconut Growing Trade,https://documents.gov.lk/view/egz/2026/4/2484-02_E.pdf
2484/01,2026-04-13,Sri Lanka Customs - Rates of Exchange w.e.t 13 -04-2026 to 19-04-2026,https://documents.gov.lk/view/egz/2026/4/2484-01_E.pdf
2483/13,2026-04-10,Ministry of Health and Mass Media - Take Over Base Hospital - Puttalam,https://documents.gov.lk/view/egz/2026/4/2483-13_E.pdf
2483/14,2026-04-10,"Ministry of Housing, Construction and Water Supply - Order under Section 92",https://documents.gov.lk/view/egz/2026/4/2483-14_E.pdf
2483/15,2026-04-10,Elections Commission - Filling of a Vacancy in the Office at Memder of the Matale M/C Filling of a Vacancy in the Office of memeber of the Mirigama Pradeshiya Sabha,https://documents.gov.lk/view/egz/2026/4/2483-15_E.pdf
2483/16,2026-04-10,Elections Commission - Filling of a Vacancy in the Office of Member of the Mutur Pradeshiya Sabha,https://documents.gov.lk/view/egz/2026/4/2483-16_E.pdf
2483/17,2026-04-10,Legal Affairs Departments - The Colombo Portcity Economic Commission Act No 11 of 2021 - Marina Hotel Holdings (PVT) LTD,https://documents.gov.lk/view/egz/2026/4/2483-17_E.pdf
2483/19,2026-04-10,Legal Affairs Departments - The Colombo Portcity Economic Commission Act No 11 of 2021 - Thakshana Technologies Private Limited,https://documents.gov.lk/view/egz/2026/4/2483-19_E.pdf
2483/20,2026-04-10,Legal Affairs Departments - The Colombo Portcity Economic Commission Act No 11 of 2021 - Xeptagon ( Private) Limited,https://documents.gov.lk/view/egz/2026/4/2483-20_E.pdf
2483/21,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act No 11 of 2021
- Cambio Software (private) Limited.",https://documents.gov.lk/view/egz/2026/4/2483-21_E.pdf
2483/22,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act No 11 of 2021
- IGT 1 OUT Sourcing Lanka ( PVT) Limited",https://documents.gov.lk/view/egz/2026/4/2483-22_E.pdf
2483/23,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act No 11 of 2021
- MMBL International Private Limited.",https://documents.gov.lk/view/egz/2026/4/2483-23_E.pdf
2483/24,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act No 11 of 2021
- AKP Lanka (private) Limited",https://documents.gov.lk/view/egz/2026/4/2483-24_E.pdf
